Dados do Tema Regulatório;;;;;;;Dados do Processo Regulatório;;;
Item;Eixo;Tema;Etapa do Processo Regulatório;Descrição;AIR/Dispensa;Relacionamento com Agenda Anterior;Processo SEI;Área Técnica Responsável pelo Processo;Status da Audiência;Relatoria do Processo
3.1;Instalações Portuárias;3.1 Revisão da Resolução da Norma de Registros - Resolução Normativa Antaq nº 13/2016.*;7. Em análise das contribuições;"O objetivo é revisar a regulamentação sobre registro de instalações portuárias, com base nos resultados da Avaliação de Resultado Regulatório conduzida pela Antaq, para promover (i) a simplificação de procedimentos; (ii) a inclusão de previsões e critérios bem definidos para aprovação dos pedidos e obrigações decorrentes; e (iii) o aprimoramento dos processos de fiscalização.";Relatório de AIR 1/2024;Agenda 2022-2024;50300.006472/2018-05;Gerência de Regulação Portuária - GRP;;D1
3.2;Instalações Portuárias;3.2 Atualização da Norma de Fiscalização Portuária - Resolução Antaq nº 75/2022.*;6. Em participação social;"O objetivo é revisar a regulamentação sobre a fiscalização da prestação de serviços portuários para promover (i) a inclusão do modelo de concessão de portos organizados no contexto do serviço portuário; e (ii) o estabelecimento de infrações e penalidades administrativas para as empresas concessionárias.";Nota Técnica nº 14/2024;Agenda 2022-2024;50300.017497/2024-74;Gerência de Regulação Portuária - GRP;;D1
3.3;Instalações Portuárias;3.3 Revisão da Norma de Outorgas de Instalações Portuárias - Resolução Antaq nº 71/2022.;5. Em deliberação para participação social;"O objetivo é revisar a regulamentação sobre os procedimentos para autorização de construção e exploração de terminal de uso privado, de estação de transbordo de carga, de instalação portuária pública de pequeno porte e de instalação portuária de turismo, para promover (i) o alinhamento às diretrizes do Programa Navegue Simples; e (ii) o aprimoramento, simplificação e desburocratização dos procedimentos de outorga.";;;50300.017601/2025-10;Gerência de Regulação Portuária - GRP;;D4
3.4;Instalações Portuárias;3.4 Contratos de passagem firmados nos portos organizados;11. Concluído;"O objetivo é avaliar a regulamentação dos contratos de passagem firmados pelas autoridades portuárias para promover (i) a adequação dos procedimentos de aprovação prévia, de acordo com a pertinência, impactos, custos e benefícios dos atos; (ii) a conformidade legal e segurança jurídica dos contratos; (ii) maior transparência dos critérios de decisão das autoridades portuárias; (iii) a criação de dispositivos para prevenir abusos, abusos, práticas anticompetitivas e concentração de mercado.";;;50300.003368/2024-07;Gerência de Regulação Portuária - GRP;;D4
3.5;Instalações Portuárias;3.5 Pátios de triagem de veículos, fora e dentro do porto organizado.*;1. Não iniciado;"O objetivo é analisar a exploração e contratação de pátios de triagem de veículos relacionados às atividades portuárias para promover (i) a definição dos limites regulatórios sobre essas atividades; e (ii) a consideração de possibilidades de regulamentação de acordo com a localização das estruturas (dentro ou fora do porto organizado), a natureza das relações entre essas infraestruturas, o contexto portuário e os usuários do transporte terrestre.";;Agenda 2022-2024;;Gerência de Regulação Portuária - GRP;;D2
3.6;Instalações Portuárias;3.6 Revisão da Norma de Fiscalização Portuária - Resolução Antaq nº 75/2022.;Excluído;"O objetivo é revisar a regulamentação sobre a fiscalização da prestação de serviços portuários para promover (i) a inclusão de novas formas de exploração da infraestrutura portuária no contexto do serviço portuário; e (ii) o aprimoramento das regras de fiscalização diante dos desafios observados.";;;;Gerência de Regulação Portuária - GRP;;
3.7;Instalações Portuárias;3.7 Recomposição cautelar do equilíbrio econômico-financeiro dos contratos de arrendamento de áreas e instalações portuárias nos portos organizados e concessões.;1. Não iniciado;"O objetivo é analisar a possibilidade de criação de mecanismos cautelares de reequilíbrio dos contratos de arrendamento de áreas e instalações portuárias nos portos organizados e concessões, para promover (i) maior agilidade aos processos de reequilíbrio econômico-finaceiro; (ii) o aumento da segurança jurídica para a continuidade dos contratos; (iii) o aumento da atração de investimentos privados e (iv) a diminuição de riscos de judicialização dos processos.";;;;;;
2.8;Navegação Marítima;2.8 Prestação de serviço concedido de exploração de infraestrutura aquaviária;2. Em análise preliminar;O objetivo é avaliar as necessidades de aprimoramento do arcabouço regulatório aplicável às concessões de hidrovias e canais de acesso portuário, para conferir maior robustez jurídica, previsibilidade e eficiência à exploração dessas infraestruturas.;;;50300.001842/2026-10;Gerência de Regulação da Navegação - GRN;;D3
3.8;Instalações Portuárias;3.8 Transmutação de instalações assistidas por contratos de passagem em instalações portuárias sob a modalidade de Terminal de Uso Privado (TUP);1. Não iniciado;"O objetivo é disciplinar a equiparação regulatória de instalações retroportuárias que utilizam contratos de passagem para acessar berços públicos, conferindo-lhes enquadramento na modalidade TUP, para promover (i) harmonização dos regimes de outorga; (ii) ampliação da segurança jurídica e regulatória; e (iii) maior previsibilidade e transparência do setor.";;;;;;
3.9;Instalações Portuárias;3.9 Coleta de dados para inventário de emissão de gases do efeito estufa (GEE) no sistema portuário;2. Em análise preliminar;O objetivo é disciplinar o fornecimento de informações periódicas, consistentes e padronizadas pelos terminais portuários sobre consumo energético e emissões de gases de efeito estufa (GEE), para subsidiar inventários nacionais, decisões regulatórias e políticas públicas voltadas à sustentabilidade.;;;50300.005075/2026-18;Gerência de Regulação Portuária - GRP;;D1
3.10;Instalações Portuárias;3.10 Definição dos serviços e das responsabilidades dos terminais portuários de contêineres por cargas sujeitas a trânsito aduaneiro ou submetidas a desembaraço aduaneiro na modalidade de despacho sobre águas e temas correlatos;2. Em análise preliminar;O objetivo é examinar a disciplina aplicável aos serviços portuários no segmento de carga conteinerizada, com vistas a avaliar e normatizar os serviços prestados durante o período em que a carga permanece sob responsabilidade dos terminais primários, seja aguardando o trânsito aduaneiro ou a retirada após o desembaraço na modalidade de despacho sobre águas.;;;50300.025205/2025-58;Gerência de Regulação Portuária - GRP;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
